_id,place_area,place_idx,place_img,place_info,place_like,place_middle,place_small,place_view
62aaa415c46aac9e5313cd43,경상남도,7259,,우도(통영),,자연관광지,섬,
62aaa415c46aac9e5313cd44,경상남도,7260,,연화도(통영),,자연관광지,섬,
62aaa415c46aac9e5313cd45,경상남도,7261,,욕지도 (유동어촌체험마을),,자연관광지,섬,
62aaa415c46aac9e5313cd46,경상남도,7262,,추도,,자연관광지,섬,
62aaa415c46aac9e5313cd47,경상남도,7263,,덕동해수욕장,,자연관광지,해수욕장,
62aaa415c46aac9e5313cd48,경상남도,7264,,봉암해수욕장,,자연관광지,해수욕장,
62aaa415c46aac9e5313cd49,경상남도,7265,,장척계곡,,자연관광지,계곡,
62aaa415c46aac9e5313cd4a,경상남도,7266,,무척산,,자연관광지,산,
62aaa415c46aac9e5313cd4b,경상북도,7267,,의성 제오리 공룡발자국화석 산지,,자연관광지,자연생태관광지,
62aaa415c46aac9e5313cd4c,강원도,7268,,동강(정선),,자연관광지,강,
62aaa415c46aac9e5313cd4d,경상북도,7269,,개천지 / 조성지,,자연관광지,호수,
62aaa415c46aac9e5313cd4e,강원도,7270,,백운산(정선),,자연관광지,산,
62aaa415c46aac9e5313cd4f,충청북도,7271,,옥화자연휴양림,,자연관광지,자연휴양림,
62aaa415c46aac9e5313cd50,전라북도,7272,,토옥동계곡,,자연관광지,계곡,
62aaa415c46aac9e5313cd51,전라북도,7273,,덕산계곡,,자연관광지,계곡,
62aaa415c46aac9e5313cd52,전라북도,7274,,지지계곡,,자연관광지,계곡,
62aaa415c46aac9e5313cd53,경기도,7275,,소구니산,,자연관광지,산,
62aaa415c46aac9e5313cd54,경기도,7276,,대부산,,자연관광지,산,
62aaa415c46aac9e5313cd55,제주도,7277,,주상절리(대포동지삿개),,자연관광지,해안절경,
62aaa415c46aac9e5313cd56,제주도,7278,,엉또폭포,,자연관광지,폭포,
62aaa415c46aac9e5313cd57,제주도,7279,,고근산,,자연관광지,산,
62aaa415c46aac9e5313cd58,제주도,7280,,강정천,,자연관광지,계곡,
62aaa415c46aac9e5313cd59,제주도,7281,,문섬/섶섬/범섬/새섬,,자연관광지,섬,
62aaa415c46aac9e5313cd5a,경상북도,7282,,본신계곡,,자연관광지,계곡,
62aaa415c46aac9e5313cd5b,전라북도,7283,,한국도로공사수목원,,자연관광지,수목원,
62aaa415c46aac9e5313cd5c,인천,7284,,볼음도,,자연관광지,섬,
62aaa415c46aac9e5313cd5d,경상남도,7285,,미륵도,,자연관광지,섬,
62aaa415c46aac9e5313cd5e,경상남도,7286,,고성 자란만,,자연관광지,항구/포구,
62aaa415c46aac9e5313cd5f,전라남도,7287,,산이반도,,자연관광지,자연생태관광지,
62aaa415c46aac9e5313cd60,전라북도,7288,,무주 구천동 33경,,자연관광지,국립공원,
62aaa415c46aac9e5313cd61,경상남도,7289,,거제도,,자연관광지,섬,
62aaa415c46aac9e5313cd62,전라남도,7290,,당사도,,자연관광지,섬,
62aaa415c46aac9e5313cd63,전라남도,7291,,전남 완도 청산 [슬로시티],,자연관광지,섬,
62aaa415c46aac9e5313cd64,전라남도,7292,,도초도,,자연관광지,섬,
62aaa415c46aac9e5313cd65,전라남도,7293,,사도,,자연관광지,섬,
62aaa415c46aac9e5313cd66,전라남도,7294,,장군도(수중성),,자연관광지,섬,
62aaa415c46aac9e5313cd67,전라남도,7295,,무등산편백자연휴양림(안양산자연휴양림),,자연관광지,자연휴양림,
62aaa415c46aac9e5313cd68,충청남도,7296,,국립 희리산해송자연휴양림,,자연관광지,자연휴양림,
62aaa415c46aac9e5313cd69,전라북도,7297,,와룡자연휴양림,,자연관광지,자연휴양림,
62aaa415c46aac9e5313cd6a,충청남도,7298,,"대둔산자연휴양림(구, 진산자연휴양림)",,자연관광지,자연휴양림,
62aaa415c46aac9e5313cd6b,충청북도,7299,,국립 속리산말티재자연휴양림,,자연관광지,자연휴양림,
62aaa415c46aac9e5313cd6c,전라남도,7300,,백운산자연휴양림,,자연관광지,자연휴양림,
62aaa415c46aac9e5313cd6d,경상남도,7301,,국립 남해편백자연휴양림,,자연관광지,자연휴양림,
62aaa415c46aac9e5313cd6e,전라남도,7302,,가학산자연휴양림,,자연관광지,자연휴양림,
62aaa415c46aac9e5313cd6f,전라남도,7303,,해남 간척지 담수호 주변 철새도래지,,자연관광지,자연생태관광지,
62aaa415c46aac9e5313cd70,경상북도,7304,,영일만 호미곶 일출,,자연관광지,항구/포구,
62aaa415c46aac9e5313cd71,인천,7305,,강화도 여차리 해변 철새,,자연관광지,자연생태관광지,
