,사고날짜,주/야 구분,사망자 수,부상자 수,시군구 코드,사고유형 코드
468,2019022701,야간,1,1,2202,25
469,2019022701,야간,1,2,1925,23
470,2019022701,야간,1,1,1303,23
471,2019022705,야간,1,1,2604,23
472,2019022706,주간,1,1,1723,05
473,2019022713,주간,1,1,1932,25
474,2019022714,주간,1,1,2201,22
475,2019022714,주간,1,1,1827,32
476,2019022715,주간,1,3,1118,22
477,2019022716,주간,1,1,1516,01
478,2019022723,야간,1,3,1701,22
479,2019022801,야간,1,1,1318,01
480,2019022805,야간,1,1,1606,03
481,2019022806,주간,1,1,1706,25
482,2019022807,주간,1,1,1702,32
483,2019022808,주간,1,1,1207,22
484,2019022814,주간,1,2,1605,23
485,2019022819,야간,1,1,2205,22
486,2019022819,야간,1,1,1715,01
487,2019030100,야간,1,1,1113,05
488,2019030103,야간,1,1,1316,02
489,2019030110,주간,1,7,1602,22
490,2019030116,주간,1,1,1903,38
491,2019030121,야간,1,1,1623,05
492,2019030212,주간,1,1,1812,37
493,2019030214,주간,1,2,1318,01
494,2019030218,야간,1,1,1604,34
495,2019030220,야간,1,1,2009,01
496,2019030301,야간,1,1,1101,25
497,2019030301,야간,1,1,1604,03
498,2019030303,야간,1,2,2101,21
499,2019030309,주간,1,1,1713,37
500,2019030310,주간,1,1,1903,32
501,2019030311,주간,1,1,2605,22
502,2019030314,주간,1,1,1317,37
503,2019030402,야간,1,2,1401,32
504,2019030415,주간,1,1,2208,38
505,2019030416,주간,1,1,2029,03
506,2019030416,주간,1,1,1306,01
507,2019030418,야간,1,1,1913,05
508,2019030422,야간,1,1,1316,22
509,2019030423,야간,1,1,1123,01
510,2019030501,야간,1,1,1215,01
511,2019030505,야간,1,2,1704,25
512,2019030508,주간,1,1,1407,04
513,2019030509,주간,2,7,1418,22
514,2019030511,주간,1,1,2205,22
515,2019030511,주간,1,1,1905,34
516,2019030511,주간,1,1,1913,01
517,2019030514,주간,1,1,1402,02
518,2019030519,야간,1,4,1720,23
519,2019030600,야간,1,1,2310,01
520,2019030601,야간,1,1,2306,32
521,2019030601,야간,1,1,1906,32
522,2019030604,야간,1,2,1402,32
523,2019030610,주간,1,1,1621,22
524,2019030610,주간,1,1,1416,38
525,2019030614,주간,1,1,1912,34
526,2019030616,주간,1,2,2605,23
527,2019030618,야간,1,1,1115,05
528,2019030619,야간,1,1,1925,05
529,2019030705,야간,1,1,1307,01
530,2019030709,주간,1,2,1820,01
531,2019030709,주간,1,1,2013,25
532,2019030711,주간,1,1,2025,34
533,2019030712,주간,1,2,1418,01
534,2019030713,주간,1,1,2016,01
535,2019030714,주간,1,1,1209,05
536,2019030717,주간,1,1,1311,22
537,2019030718,야간,1,2,1924,34
538,2019030719,야간,1,1,1321,02
539,2019030723,야간,1,2,1503,02
540,2019030800,야간,1,2,2205,01
541,2019030800,야간,1,2,2501,22
542,2019030806,주간,1,2,2504,22
543,2019030806,주간,1,4,1602,25
544,2019030807,주간,1,1,1603,37
545,2019030807,주간,1,1,1334,23
546,2019030807,주간,1,1,1514,22
547,2019030808,주간,1,2,1315,25
548,2019030812,주간,1,1,2012,03
549,2019030817,주간,1,3,1821,38
550,2019030819,야간,1,1,1935,01
551,2019030819,야간,1,1,1907,01
552,2019030820,야간,1,1,2405,22
553,2019030901,야간,1,2,2008,01
554,2019030901,야간,1,2,1323,25
555,2019030904,야간,1,3,1303,23
556,2019030906,주간,1,1,1103,01
557,2019030908,주간,1,1,1818,38
558,2019030909,주간,1,2,1908,23
559,2019030910,주간,1,2,1706,22
560,2019030913,주간,1,1,1305,38
561,2019031000,야간,1,1,1114,01
562,2019031001,야간,1,1,1330,32
563,2019031005,야간,1,1,1303,21
