rank,name,level,win
474,꽉잡아여,206,360
475,갱붕이,409,347
476,xiongdimen,278,113
477,FIORAKlNG,275,137
478,VG 뽀오,380,135
479,Introverted Ornn,246,194
480,민수99,98,195
481,lavazz,130,105
482,5712873216837216,59,199
483,Juhana,670,400
484,늪에 빠지다1,633,82
485,Endless learning,90,114
486,Enosh1,98,179
487,Golden mole,213,52
488,Destiny,458,337
489,아자아자화이팅9,40,70
490,haohaohaohao,75,187
491,리그오브레전드ll,473,257
492,가끔 이러다1,143,252
493,초보강아지,309,94
494,cxybaby,216,118
495,MS77,589,226
496,오스기,310,247
497,JianXlan,72,127
498,바보상단 영민,119,214
499,크리페,529,113
500,fdtft,80,229
501,buzhesuimu,64,252
502,noobad03,67,274
503,6974123588462197,44,86
504,구글 롤브라더스,86,288
505,Zeus Fan1,70,169
506,외길인생 샤코,334,294
507,이성죠,355,150
508,폭탄목걸이수련법,189,90
509,tes sanbanfu,55,174
510,FPX q2380023067f,685,472
511,AFTV 문성규,190,204
512,yaoyaoxiaokeai,60,212
513,불이과 ,63,181
514,Iras,127,241
515,DNK01,83,409
516,Pyke 신,83,245
517,벼향기,49,138
518,NanchangPopsmoke,54,168
519,dasdqwr,58,213
520,핫소스구독좋아요,500,203
521,with Qowy,229,90
522,호우시우보,308,87
523,부드러운계란과자,382,247
524,By 불비,649,247
525,ci jian wu sheng,67,160
526,VAVAVAVAVA,278,334
527,123456654321,62,239
528,구글롤플릭스검색,68,97
529,잘하자 이현2022,717,114
530,불운소년,72,112
531,CCwhitte,111,133
532,젠지 제스트,258,165
533,qingxuzhishen,177,149
534,BRO Loopy,375,277
535,itsumonoyoni,62,240
536,324141312421213,402,186
537,제드팀 검색 구글,64,115
538,두꺼비압수,239,357
539,Fizz GOD 00,67,109
540,wonangfei zz,116,264
541,Kitagawa Kaimu,43,105
542,순위 재밌다,58,216
543,heihoushuohua,67,259
544,kfo,687,317
545,kojhy,70,235
546,love again1,76,222
547,Noticed,398,314
548,asdsafhgfdgfsdaf,530,186
549,연애꽃,554,97
550,be a Good,175,269
551,스물다섯번째밤,186,226
552,모두가 건강하길,48,96
553,zzm7,107,292
554,friigid,254,180
555,SounDA,222,213
556,문효준,291,68
557,변흥호,136,166
558,박치기공룡입니다,299,104
559,유령송 1시간반복,306,222
560,0S20,175,180
561,kiwi doctor,61,225
562,Touwa Eri0,63,243
563,Southwind17,51,137
564,남장구,233,329
565,태기베어,174,68
566,kplwvyza,43,91
567,여행 떠나기,286,93
568,Thanatos,151,225
569,달달하구여,498,488
570,무채색의 한남자,85,108
571,Benit,139,203
572,악마 넙치,325,114
573,갈 망 하다0,99,68
574,KDF BuLLDoG,291,145
575,Fayer,177,173
576,S3 ADC,392,272
577,Tao yan pian zi,141,234
578,cosmossss,64,159
579,내나이가어때서어,574,192
580,sweet lily,94,368
581,민태석,399,159
582,FEMALE CHEETAH,70,153
583,박지복,395,98
584,늘잘하고싶은사람,63,56
585,아프리카TV소신,214,130
586,군대가기시러어어,484,279
587,캐리나할까,88,165
588,매혹으짜니,333,350
589,Mei Tian Kun,389,105
590,HamBak1,160,128
591,매우잘하고싶다,419,194
592,히끼꼬무리,425,285
593,따봉 람머스,352,237
594,시밤게임,453,347
595,Dan Xiao Gu,54,173
596,easy for u,116,238
